"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2026","10.06","10.06","10.06","10.06","","13.42%"
"08/28/2026","8.87","8.87","8.87","8.87","","-0.34%"
"08/27/2026","8.90","8.90","8.90","8.90","","-2.09%"
"08/26/2026","9.09","9.09","9.09","9.09","","-5.21%"
"08/25/2026","9.59","9.59","9.59","9.59","","3.34%"
"08/24/2026","9.28","9.28","9.28","9.28","","11.27%"
"08/21/2026","8.34","8.34","8.34","8.34","","-11.84%"
"08/20/2026","9.46","8.97","9.59","8.47","","18.99%"
"08/19/2026","7.95","8.88","9.47","7.84","","-16.75%"
"08/18/2026","9.55","9.49","9.78","9.05","","12.75%"
"08/17/2026","8.47","8.41","9.14","8.25","","13.69%"
"08/14/2026","7.45","7.01","7.99","6.94","","-3.12%"
"08/13/2026","7.69","7.29","8.39","7.25","","-1.28%"
"08/12/2026","7.79","8.51","8.67","7.56","","-12.96%"
"08/11/2026","8.95","8.15","9.30","8.15","","10.90%"
"08/10/2026","8.07","7.47","8.13","6.80","","9.35%"
"08/07/2026","7.38","6.51","7.43","6.43","","11.48%"
"08/06/2026","6.62","7.22","7.39","6.53","","-6.50%"
"08/05/2026","7.08","8.08","9.01","6.49","","-1.53%"
"08/04/2026","7.19","5.40","7.21","5.29","","27.48%"
"08/03/2026","5.64","6.17","6.17","4.86","","-8.89%"
"07/31/2026","6.19","7.12","10.28","5.86","","-12.32%"
"07/30/2026","7.06","9.71","10.06","6.85","","-41.02%"
"07/29/2026","11.97","8.64","12.42","6.95","","54.25%"
"07/28/2026","7.76","8.05","9.38","7.10","","0.91%"
"07/27/2026","7.69","5.98","9.06","5.88","","-0.52%"
"07/24/2026","7.73","7.45","8.37","6.18","","5.03%"
"07/23/2026","7.36","7.53","9.22","6.57","","71.16%"
"07/22/2026","4.30","5.28","5.28","4.30","","-13.65%"
"07/21/2026","4.98","5.47","6.08","4.78","","-26.87%"
"07/20/2026","6.81","5.17","6.90","5.04","","6.74%"
"07/17/2026","6.38","6.96","7.57","5.31","","36.91%"
"07/16/2026","4.66","4.01","5.24","3.74","","25.95%"
"07/15/2026","3.70","4.28","4.81","3.58","","-19.57%"
"07/14/2026","4.60","5.12","5.40","4.44","","-16.52%"
"07/13/2026","5.51","4.35","5.94","4.25","","60.17%"
