"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2018","30.55","30.55","30.55","30.55","","-31.73%"
"01/06/2019","25.45","25.45","25.45","25.45","","-16.69%"
"01/13/2019","27.20","27.20","27.20","27.20","","6.88%"
"01/20/2019","27.99","27.99","27.99","27.99","","2.90%"
"01/27/2019","31.15","31.15","31.15","31.15","","11.29%"
"02/03/2019","31.42","31.42","31.42","31.42","","0.87%"
"02/10/2019","30.64","30.64","30.64","30.64","","-2.48%"
"02/17/2019","28.39","28.39","28.39","28.39","","-7.34%"
"02/24/2019","26.78","26.78","26.78","26.78","","-5.67%"
"03/03/2019","36.27","36.27","36.27","36.27","","35.44%"
"03/10/2019","28.25","28.25","28.25","28.25","","-22.11%"
"03/17/2019","36.83","36.83","36.83","36.83","","30.37%"
"03/24/2019","22.78","22.78","22.78","22.78","","-38.15%"
"03/31/2019","15.22","15.22","15.22","15.22","","-33.19%"
"04/07/2019","13.41","13.41","13.41","13.41","","-11.89%"
"04/14/2019","15.79","15.79","15.79","15.79","","17.75%"
"04/21/2019","18.99","18.99","18.99","18.99","","20.27%"
"04/28/2019","25.58","25.58","25.58","25.58","","34.70%"
"05/05/2019","39.57","39.57","39.57","39.57","","54.69%"
"05/12/2019","39.40","39.40","39.40","39.40","","-0.43%"
"05/19/2019","40.93","40.93","40.93","40.93","","3.88%"
"05/26/2019","48.54","48.54","48.54","48.54","","18.59%"
"06/02/2019","37.72","37.72","37.72","37.72","","-22.29%"
"06/09/2019","35.89","35.89","35.89","35.89","","-4.85%"
"06/16/2019","32.72","32.72","32.72","32.72","","-8.83%"
"06/23/2019","25.29","25.29","25.29","25.29","","-22.71%"
"06/30/2019","19.48","19.48","19.48","19.48","","-22.97%"
"07/07/2019","16.38","16.38","16.38","16.38","","-15.91%"
"07/14/2019","23.01","23.01","23.01","23.01","","40.48%"
"07/21/2019","21.66","21.66","21.66","21.66","","-5.87%"
"07/28/2019","39.72","39.72","39.72","39.72","","83.38%"
"08/04/2019","37.29","37.29","37.29","37.29","","-6.12%"
"08/11/2019","43.39","43.39","43.39","43.39","","16.36%"
"08/18/2019","47.68","47.68","47.68","47.68","","9.89%"
"08/25/2019","44.02","44.02","44.02","44.02","","-7.68%"
"09/01/2019","30.86","30.86","30.86","30.86","","-29.90%"
"09/08/2019","25.53","25.53","25.53","25.53","","-17.27%"
"09/15/2019","30.05","30.05","30.05","30.05","","17.70%"
"09/22/2019","31.72","31.72","31.72","31.72","","5.56%"
"09/29/2019","29.70","29.70","29.70","29.70","","-6.37%"
"10/06/2019","26.04","26.04","26.04","26.04","","-12.32%"
"10/13/2019","22.67","22.67","22.67","22.67","","-12.94%"
"10/20/2019","21.00","21.00","21.00","21.00","","-7.37%"
"10/27/2019","25.04","25.04","25.04","25.04","","19.24%"
"11/03/2019","25.37","25.37","25.37","25.37","","1.32%"
"11/10/2019","25.97","25.97","25.97","25.97","","2.36%"
"11/17/2019","26.15","26.15","26.15","26.15","","0.69%"
"11/24/2019","28.17","28.17","28.17","28.17","","7.72%"
"12/01/2019","34.62","34.62","34.62","34.62","","22.90%"
"12/08/2019","27.66","27.66","27.66","27.66","","-20.10%"
"12/15/2019","25.63","25.63","25.63","25.63","","-7.34%"
"12/22/2019","22.56","22.56","22.56","22.56","","-11.98%"
"12/29/2019","21.92","21.92","21.92","21.92","","-2.84%"
"01/05/2020","15.36","15.36","15.36","15.36","","-29.93%"
"01/12/2020","15.16","15.16","15.16","15.16","","-1.30%"
